ababa	a<r>bab<vr>a<va>
ngingakhwelanga	ngi<p1s>nga<neg>khwel<vr>anga<vpg>
ngingakuphatha	ngi<s1s>nga<asp>ku<o2s>phath<vr>a<va>
ngingakuthola	ngi<i1s>nga<asp>ku<o15>thol<vr>a<va>
ngingakutshela	ngi<s1s>nga<asp>ku<o2s>tshel<vr>a<va>
ngingalazi	ngi<s1s>nga<asp>l<o5>azi<vr>
ngingamsiza	ngi<s1s>nga<asp>m<o1>siz<vr>a<va>
ngingaphila	ngi<s1s>nga<asp>phil<vr>a<va>
ngingaphumeleli	ngi<s1s>nga<neg>phumelel<vr>i<vg>
ngingasafiki	ngi<p1s>nga<neg>sa<asp>fik<vr>i<vg>
ngingasafuni	ngi<i1s>nga<neg>sa<asp>fun<vr>i<vg>
ngingasawaboni	ngi<p1s>nga<neg>sa<asp>wa<o6>bon<vr>i<vg>
ngingasezwa	ngi<i1s>nga<neg>se<asp>zw<vr>a<va>
ngingasho	ngi<s1s>nga<asp>sho<vr>
ngingasindi	ngi<p1s>nga<neg>sind<vr>i<vg>
ngingathi	ngi<i1s>nga<asp>thi<vr>, ngi<s1s>nga<neg>thi<vr>
ngingathini	ngi<s1s>nga<asp>thi<vr>ni<int>
ngingawasho	ngi<i1s>nga<asp>wa<o6>sho<vr>, ngi<p1s>nga<neg>wa<o6>sho<vr>
ngingaxabana	ngi<s1s>nga<asp>xab<vr>an<xr>a<va>
ngingayibhalisa	ngi<s1s>nga<asp>yi<o9>bhal<vr>is<xc>a<va>
ngingayithathaphi	ngi<s1s>nga<asp>yi<o9>thath<vr>a<va>phi<adv>
ngingaze	ngi<i1s>nga<neg>ze<mr>
ngingazi	ngi<s1s>ng<asp>azi<vr>
ngingekuhumushe	ngi<s1s>nge<asp>ku<o15>humush<vr>e<vs>
ngingekuthande	ngi<i1s>nge<neg>ku<o2s>thand<vr>e<vs>
ngingemxoxele	ngi<s1s>nge<asp>m<o1>xox<vr>el<xa>e<vs>
ngingena	ngi<i1s>ngen<vr>a<va>, ngi<p1s>ngen<vr>a<va>
ngingenwe	ngi<i1s>ngen<vr>w<xp>e<vps>, ngi<p1s>ngen<vr>w<xp>e<vps>, ngi<s1s>ngen<vr>w<xp>e<vs>
ngingenza	ngi<s1s>ng<asp>enz<p1_vr>a<va>
ngingufezela	ngi<i1s>ng<p>u<iv_n1>fezela<nr>
ngingujehova	ngi<i1s>ng<p>u<iv>jehova<nr>, ngi<i1s>ng<p>u<iv_n1>jehova<nr>
ngingumbhuqwa	ngi<i1s>ng<p>u<iv>m<n1>bhuq<vr>w<xp>a<va>
ngingumfundisi	ngi<i1s>ng<p>u<iv>m<n1>fund<vr>is<xc>i<hum>
ngingumthakathi	ngi<i1s>ng<p>u<iv>m<n1>thakath<vr>i<hum>
ngingumuntu	ngi<i1s>ng<p>u<iv>mu<n1>ntu<nr>
ngingustephan	ngi<i1s>ng<p>u<iv_n1>stephan<nr>
nginguzangaza	ngi<i1s>ng<p>u<iv_n14>zangaza<nr>
ngino	ngi<i1s>n<p>o<iv_n3>
nginomusa	ngi<i1s>n<p>o<iv>mu<n3>sa<nr>
ngintantatheka	ngi<i1s>ntantath<vr>ek<xn>a<va>, ngi<p1s>ntantath<vr>ek<xn>a<va>
nginuka	ngi<i1s>nuk<vr>a<va>
nginyathela	ng<p>i<iv_n5>nyathela<nr>, ngi<i1s>nyathel<vr>a<va>, ngi<p1s>nyathel<vr>a<va>
ngiphansi	ngi<i1s>phansi<adv>
ngiphela	ngi<i1s>phel<vr>a<va>, ngi<p1s>phel<vr>a<va>
ngiphelekezele	ngi<p1s>phelekezel<vr>e<vps>, ngi<s1s>phelekez<vr>el<xa>e<vs>
ngiphinde	ngi<i1s>phind<vr>e<vps>, ngi<p1s>phind<vr>e<vps>, ngi<s1s>phind<vr>e<vs>
ngiphindele	ngi<s1s>phind<vr>el<xa>e<vs>
ngiphuma	ngi<i1s>phum<vr>a<va>, ngi<p1s>phum<vr>a<va>
ngiphume	ngi<i1s>phum<vr>e<vps>, ngi<p1s>phum<vr>e<vps>, ngi<s1s>phum<vr>e<vs>
ngiphumelele	ngi<i1s>phumel<vr>el<xa>e<vps>
ngiphuthwe	ngi<i1s>phuth<vr>w<xp>e<vs>
ngiqale	ngi<i1s>qal<vr>e<vs>
ngisabambeke	ngi<i1s>sa<asp>bamb<vr>ek<xn>e<vs>
ngisachitha	ngi<i1s>sa<asp>chith<vr>a<va>
ngisafanisa	ngi<i1s>sa<asp>fan<vr>is<xc>a<va>
ngisafuna	ngi<i1s>sa<asp>fun<vr>a<va>, ngi<p1s>sa<asp>fun<vr>a<va>
ngisahlezi	ngi<i1s>sa<asp>hlez<vr>i<vpl>
ngisakhathele	ngi<i1s>sa<asp>khathel<vr>e<vps>, ngi<p1s>sa<asp>khathel<vr>e<vps>
ngisakhuluma	ngi<i1s>sa<asp>khulum<vr>a<va>
ngisalenza	ngi<p1s>sa<asp>l<o5>enz<p1_vr>a<va>
ngisalithola	ngi<i1s>sa<asp>li<o5>thol<vr>a<va>, ngi<p1s>sa<asp>li<o5>thol<vr>a<va>
ngisamfica	ngi<i1s>sa<asp>m<o1>fic<vr>a<va>
ngisamqabuka	ngi<i1s>sa<asp>m<o1>qabuk<vr>a<va>
ngisanqikaza	ngi<i1s>sa<asp>nqikaz<vr>a<va>
ngisaphila	ngi<i1s>sa<asp>phil<vr>a<va>
ngisaphinda	ngi<i1s>sa<asp>phind<vr>a<va>
ngisaphinde	ngi<i1s>sa<asp>phind<vr>e<vps>
ngisasho	ngi<i1s>sa<asp>sho<vr>
ngisayixoxela	ngi<i1s>sa<asp>yi<o4>xox<vr>el<xa>a<va>
ngisebenza	ngi<i1s>sebenz<p1_vr>a<va>
ngisebenzisa	ngi<i1s>sebenz<vr>is<xc>a<va>, ngi<p1s>sebenz<vr>is<xc>a<va>
ngisemvakwabo	ngi<i1s>se<locpf>mva<adv>kwa<z15>bo<pr2>
ngisengxakini	ngi<i1s>se<locpf>ngxak<nr>ini<locsf>
ngisethekwini	ngi<i1s>se<locpf>thekw<nr>ini<locsf>
ngishaye	ngi<i1s>shay<vr>e<vps>, ngi<p1s>shay<vr>e<vps>, ngi<s1s>shay<vr>e<vs>
ngishaywa	ngi<i1s>shay<vr>w<xp>a<va>, ngi<p1s>shay<vr>w<xp>a<va>
ngishilo	ngi<i1s>sh<vr>ilo<vpl>
ngisho	ngi<i1s>sho<vr>
ngisiphikise	ngi<i1s>si<o1p>phik<vr>is<xc>e<vps>
ngisizeni	ngi<o1s>siz<vr>e<imp>ni<pl>
ngisuke	ngi<i1s>suk<vr>e<vps>
ngisukele	ngi<i1s>suk<vr>el<xa>e<vps>
ngithande	ngi<i1s>thand<vr>e<vps>, ngi<p1s>thand<vr>e<vps>, ngi<s1s>thand<vr>e<vs>
ngithe	ngi<i1s>th<vr>e<vps>
ngitheni	ngi<i1s>th<vr>e<vps>ni<int>
ngithi	ngi<i1s>thi<vr>
ngithoka	ngi<i1s>thok<vr>a<va>
ngithole	ngi<i1s>thol<vr>e<vps>, ngi<s1s>thol<vr>e<vs>
ngithuka	ngi<i1s>thuk<vr>a<va>
ngitshele	ngi<p1s>tshel<vr>e<vps>
ngivalelisa	ngi<i1s>valel<vr>is<xc>a<va>
ngivele	ngi<p1s>vel<vr>e<vps>
ngivuke	ngi<i1s>vuk<vr>e<vps>, ngi<p1s>vuk<vr>e<vps>, ngi<s1s>vuk<vr>e<vs>
ngivume	ngi<i1s>vum<vr>e<vps>, ngi<p1s>vum<vr>e<vps>, ngi<s1s>vum<vr>e<vs>
ngivumelana	ngi<i1s>vumel<vr>an<xr>a<va>
ngiwabuza	ngi<i1s>wa<o6>buz<vr>a<va>
ngiwakhumbuza	ngi<i1s>wa<o6>khumbuz<vr>a<va>
ngiwenza	ngi<i1s>w<o6>enz<p1_vr>a<va>
ngiwezwile	ngi<i1s>w<o6>ezw<vr>ile<vpl>
ngiwulole	ngi<p1s>wu<o3>lol<vr>e<vps>
ngixo	ngixo<adv>
ngiyabakitaza	ngi<i1s>ya<asp>ba<o2>kitaz<vr>a<va>
ngiyabamba	ngi<i1s>ya<asp>bamb<vr>a<va>
ngiyabezwela	ngi<i1s>ya<asp>b<o2>ezw<vr>el<xa>a<va>
ngiyabheka	ngi<i1s>ya<asp>bhek<vr>a<va>
ngiyabona	ngi<i1s>ya<asp>bon<vr>a<va>
ngiyabonga	ngi<i1s>ya<asp>bong<vr>a<va>
ngiyabuza	ngi<i1s>ya<asp>buz<vr>a<va>
ngiyafunga	ngi<i1s>ya<asp>fung<vr>a<va>
ngiyagomela	ngi<i1s>ya<asp>gom<vr>el<xa>a<va>
ngiyahamba	ngi<i1s>ya<asp>hamb<vr>a<va>
ngiyajabula	ngi<i1s>ya<asp>jabul<vr>a<va>
ngiyakhala	ngi<i1s>ya<asp>khal<vr>a<va>
ngiyakhuluma	ngi<i1s>ya<asp>khulum<vr>a<va>
ngiyakhumbula	ngi<i1s>ya<asp>khumbul<vr>a<va>
ngiyaklatshelwa	ngi<p1s>ya<asp>klatsh<vr>el<xa>w<xp>a<va>
ngiyakubona	ngi<i1s>ya<asp>ku<o15>bon<vr>a<va>, ngi<i1s>ya<asp>ku<o2s>bon<vr>a<va>
ngiyakuhlala	ngi<i1s>ya<asp>ku<o2s>hlal<vr>a<va>
ngiyakukhuza	ngi<p1s>ya<asp>ku<o15>khuz<vr>a<va>
ngiyakulaya	ngi<i1s>ya<asp>ku<o2s>lay<vr>a<va>
ngiyakutshela	ngi<i1s>ya<asp>ku<o15>tshel<vr>a<va>
ngiyakwazi	ngi<i1s>ya<asp>kw<o15>azi<vr>
ngiyakweluleka	ngi<i1s>ya<asp>kw<o2s>elul<vr>ek<xn>a<va>
ngiyakwexwaya	ngi<i1s>ya<asp>kw<o15>exway<vr>a<va>
ngiyalalela	ngi<i1s>ya<asp>lalel<vr>a<va>
ngiyamangala	ngi<i1s>ya<asp>mangal<vr>a<va>
ngiyamazi	ngi<i1s>ya<asp>m<o1>azi<vr>
ngiyambongela	ngi<i1s>ya<asp>m<o1>bong<vr>el<xa>a<va>, ngi<p1s>ya<asp>m<o1>bong<vr>el<xa>a<va>
ngiyambuka	ngi<i1s>ya<asp>m<o1>buk<vr>a<va>
ngiyamfanisa	ngi<i1s>ya<asp>m<o1>fanis<vr>a<va>
ngiyamhambisela	ngi<i1s>ya<asp>m<o1>hamb<vr>is<xc>el<xa>a<va>
ngiyamkhulumisa	ngi<i1s>ya<asp>m<o1>khulum<vr>is<xc>a<va>
ngiyamqhwanda	ngi<i1s>ya<asp>m<o1>qhwand<vr>a<va>
ngiyamtshela	ngi<i1s>ya<asp>m<o1>tshel<vr>a<va>
ngiyaphendula	ngi<i1s>ya<asp>phendul<vr>a<va>
ngiyaphinda	ngi<i1s>ya<asp>phind<vr>a<va>
ngiyaphupha	ngi<i1s>ya<asp>phuph<vr>a<va>
ngiyaqhaqhazela	ngi<i1s>ya<asp>qhaqhaz<vr>el<xa>a<va>
ngiyasho	ngi<i1s>ya<asp>sho<vr>
ngiyasola	ngi<i1s>ya<asp>sol<vr>a<va>
ngiyathandaza	ngi<p1s>ya<asp>thandaz<vr>a<va>
ngiyawabonga	ngi<i1s>ya<asp>wa<o6>bong<vr>a<va>
ngiyaxolisa	ngi<i1s>ya<asp>xol<vr>is<xc>a<va>
ngiyayazi	ngi<i1s>ya<asp>y<o9>azi<vr>
ngiyaye	ngi<p1s>yay<vr>e<vps>, ngi<s1s>yay<vr>e<vs>
ngiyayesaba	ngi<i1s>ya<asp>y<o9>esab<p1_vr>a<va>
ngiyazi	ngi<i1s>y<asp>azi<vr>
ngiye	ngi<i1s>y<vr>e<vps>, ngi<p1s>y<vr>e<vps>, ngi<s1s>y<vr>e<vs>
ngiyeka	ngi<i1s>yek<vr>a<va>
ngiyeke	ngi<i1s>yek<vr>e<vps>
ngiyesaba	ngi<i1s>y<asp>esab<p1_vr>a<va>
ngiyethembisa	ngi<i1s>y<asp>ethemb<vr>is<xc>a<va>
ngiyibeka	ngi<i1s>yi<o9>bek<vr>a<va>
ngiyibhale	ngi<i1s>yi<o4>bhal<vr>e<vps>, ngi<i1s>yi<o9>bhal<vr>e<vps>, ngi<p1s>yi<o4>bhal<vr>e<vps>, ngi<p1s>yi<o9>bhal<vr>e<vps>
ngiyibhalele	ngi<i1s>yi<o4>bhal<vr>el<xa>e<vps>
ngiyibhekile	ngi<i1s>yi<o4>bhek<vr>ile<vpl>, ngi<i1s>yi<o9>bhek<vr>ile<vpl>, ngi<p1s>yi<o4>bhek<vr>ile<vpl>, ngi<p1s>yi<o9>bhek<vr>ile<vpl>
ngiyifuna	ngi<i1s>yi<o4>fun<vr>a<va>, ngi<i1s>yi<o9>fun<vr>a<va>, ngi<p1s>yi<o4>fun<vr>a<va>, ngi<p1s>yi<o9>fun<vr>a<va>
ngiyigula	ngi<i1s>y<p>i<iv_n5>gula<nr>
ngiyilokhu	ngi<i1s>yi<p>lo<d>khu<d15>
ngiyinkatha	ngi<i1s>y<p>i<iv>n<n9>katha<nr>
ngiyinkosikazi	ngi<i1s>y<p>i<iv>n<n9>kosi<nr>kazi<fem>
ngiyinkunzi	ngi<i1s>y<p>i<iv>n<n9>kunzi<nr>
ngiyiqeda	ngi<i1s>yi<o4>qed<vr>a<va>, ngi<i1s>yi<o9>qed<vr>a<va>
ngiyishayile	ngi<i1s>yi<o4>shay<vr>ile<vpl>, ngi<i1s>yi<o9>shay<vr>ile<vpl>, ngi<p1s>yi<o9>shay<vr>ile<vpl>
ngiyisiboshwa	ngi<i1s>y<p>i<iv>si<n7>bosh<vr>w<xp>a<der>
ngiyisigwili	ngi<i1s>y<p>i<iv>si<n7>gwili<nr>
ngiyisikele	ngi<s1s>yi<o9>sik<vr>el<xa>e<vs>
ngiyisilima	ngi<i1s>y<p>i<iv>si<n7>lima<nr>
ngiyizibe	ngi<i1s>yi<o4>zib<vr>e<vps>, ngi<i1s>yi<o9>zib<vr>e<vps>, ngi<p1s>yi<o4>zib<vr>e<vps>, ngi<p1s>yi<o9>zib<vr>e<vps>, ngi<s1s>yi<o4>zib<vr>e<vs>, ngi<s1s>yi<o9>zib<vr>e<vs>
ngiyobaxosha	ngi<i1s>yo<fut>ba<o2>xosh<vr>a<va>
ngiyobheka	ngi<i1s>yo<fut>bhek<vr>a<va>, ngi<p1s>yo<fut>bhek<vr>a<va>
ngiyobhobokela	ngi<i1s>yo<fut>bhobok<vr>el<xa>a<va>
ngiyobonga	ngi<i1s>yo<fut>bong<vr>a<va>
ngiyobuye	ngi<i1s>yo<fut>buy<vr>e<vs>
ngiyobuyela	ngi<i1s>yo<fut>buy<vr>el<xa>a<va>
ngiyokubonga	ngi<i1s>yo<fut>ku<o2s>bong<vr>a<va>
ngiyokuhlenga	ngi<i1s>yo<fut>ku<o15>hleng<vr>a<va>, ngi<i1s>yo<fut>ku<o2s>hleng<vr>a<va>, ngi<p1s>yo<fut>ku<o15>hleng<vr>a<va>, ngi<p1s>yo<fut>ku<o2s>hleng<vr>a<va>
ngiyombulala	ngi<i1s>yo<fut>m<o1>bulal<vr>a<va>, ngi<p1s>yo<fut>m<o1>bulal<vr>a<va>
ngiyomenza	ngi<i1s>yo<fut>m<o1>enz<p1_vr>a<va>
ngiyomjezisa	ngi<i1s>yo<fut>m<o1>jez<vr>is<xc>a<va>, ngi<p1s>yo<fut>m<o1>jez<vr>is<xc>a<va>
ngiyomxoxela	ngi<i1s>yo<fut>m<o1>xox<vr>el<xa>a<va>
ngiyothi	ngi<i1s>yo<fut>thi<vr>
ngiyotshela	ngi<i1s>yo<fut>tshel<vr>a<va>
ngiyoye	ngi<i1s>yo<fut>y<vr>e<vps>
ngiyozikhunga	ngi<i1s>yo<fut>zi<o10>khung<vr>a<va>
ngiyozithwebula	ngi<i1s>yo<fut>zi<o10>thwebul<vr>a<va>
ngiyozwa	ngi<i1s>yo<fut>zw<vr>a<va>
ngizakubulalela	ngi<i1s>za<fut>ku<n15>bulal<vr>el<xa>a<va>
ngizama	ngi<i1s>zam<vr>a<va>
ngizame	ngi<i1s>zam<vr>e<vps>, ngi<p1s>zam<vr>e<vps>, ngi<s1s>zam<vr>e<vs>
ngize	ngi<i1s>z<vr>e<vps>, ngi<p1s>z<vr>e<vps>, ngi<s1s>z<vr>e<vs>
ngizedlulisa	ngi<i1s>z<o10>edlul<vr>is<xc>a<va>
ngizele	ngi<i1s>z<vr>el<xa>e<vps>
ngizibeke	ngi<i1s>zi<o10>bek<vr>e<vps>
ngizibike	ngi<i1s>zi<o10>bik<vr>e<vps>
ngizifuna	ngi<i1s>zi<o10>fun<vr>a<va>, ngi<p1s>zi<o10>fun<vr>a<va>
ngizigxiviza	ngi<i1s>zi<o10>gxiviz<vr>a<va>
ngizishiya	ngi<i1s>zi<o10>shiy<vr>a<va>
ngizitapa	ngi<i1s>zi<o10>tap<vr>a<va>, ngi<p1s>zi<o10>tap<vr>a<va>
ngizithulele	ngi<i1s>zi<refl>thul<vr>el<xa>e<vps>
ngizoba	ngi<i1s>zo<fut>b<vr>a<va>
ngizobabeka	ngi<p1s>zo<fut>ba<o2>bek<vr>a<va>
ngizobabuza	ngi<i1s>zo<fut>ba<o2>buz<vr>a<va>
ngizobheka	ngi<i1s>zo<fut>bhek<vr>a<va>
ngizobuka	ngi<i1s>zo<fut>buk<vr>a<va>
ngizocasha	ngi<i1s>zo<fut>cash<vr>a<va>
ngizogawula	ngi<i1s>zo<fut>gawul<vr>a<va>
ngizogcinaphi	ngi<i1s>zo<fut>gcin<vr>a<va>phi<adv>
ngizohlanganisa	ngi<i1s>zo<fut>hlangan<vr>is<xc>a<va>
ngizokucela	ngi<i1s>zo<fut>ku<o15>cel<vr>a<va>, ngi<i1s>zo<fut>ku<o2s>cel<vr>a<va>, ngi<p1s>zo<fut>ku<o15>cel<vr>a<va>, ngi<p1s>zo<fut>ku<o2s>cel<vr>a<va>
ngizokusiza	ngi<i1s>zo<fut>ku<o15>siz<vr>a<va>, ngi<i1s>zo<fut>ku<o2s>siz<vr>a<va>
ngizokutshela	ngi<i1s>zo<fut>ku<o15>tshel<vr>a<va>, ngi<p1s>zo<fut>ku<o15>tshel<vr>a<va>
ngizokuza	ngi<i1s>zo<fut>ku<n15>z<vr>a<va>
ngizokwazi	ngi<i1s>zo<fut>kw<n15>azi<vr>
ngizolungisa	ngi<i1s>zo<fut>lung<vr>is<xc>a<va>, ngi<p1s>zo<fut>lung<vr>is<xc>a<va>
ngizomfica	ngi<i1s>zo<fut>m<o1>fic<vr>a<va>
ngizomsiza	ngi<i1s>zo<fut>m<o1>siz<vr>a<va>, ngi<p1s>zo<fut>m<o1>siz<vr>a<va>
ngizomthola	ngi<i1s>zo<fut>m<o1>thol<vr>a<va>
ngizonichazela	ngi<i1s>zo<fut>ni<o2p>chaz<vr>el<xa>a<va>
ngizonigwinya	ngi<i1s>zo<fut>ni<o2p>gwiny<vr>a<va>
ngizopha	ngi<i1s>zo<fut>ph<vr>a<va>
ngizophekelwa	ngi<p1s>zo<fut>phekel<vr>w<xp>a<va>
ngizophindela	ngi<i1s>zo<fut>phind<vr>el<xa>a<va>
ngizophithana	ngi<i1s>zo<fut>phith<vr>an<xr>a<va>
ngizophoqeka	ngi<i1s>zo<fut>phoq<vr>ek<xn>a<va>
ngizoqale	ngi<i1s>zo<fut>qal<vr>e<vps>, ngi<p1s>zo<fut>qal<vr>e<vps>
ngizosho	ngi<i1s>zo<fut>sho<vr>
ngizoshona	ngi<i1s>zo<fut>shon<vr>a<va>, ngi<p1s>zo<fut>shon<vr>a<va>
ngizoshonaphi	ngi<i1s>zo<fut>shon<vr>a<va>phi<adv>
ngizothi	ngi<i1s>zo<fut>thi<vr>
ngizoyiletha	ngi<i1s>zo<fut>yi<o4>leth<vr>a<va>, ngi<i1s>zo<fut>yi<o9>leth<vr>a<va>
ngizozama	ngi<i1s>zo<fut>zam<vr>a<va>
ngizwe	ngi<i1s>zw<vr>e<vps>, ngi<s1s>zw<vr>e<vs>
ngizwisise	ngi<i1s>zw<vr>isis<xi>e<vps>
ngo	ng<p>o<iv_n1>
ngoba	ngoba<adv>
ngobala	ng<p>o<iv_n11>bala<nr>
ngobani	ng<p>o<iv_n2>bani<nr>
ngobhoko	ng<p>o<iv_n11>bhoko<nr>
ngobuchopho	ng<p>o<iv>bu<n14>chopho<nr>
ngobuciko	ng<p>o<iv>bu<n14>cik<vr>o<in>, ng<p>o<iv>bu<n14>ciko<nr>
ngobudala	ng<p>o<iv>bu<n14>dala<ar>
ngobuhlakani	ng<p>o<iv>bu<n14>hlakani<nr>
ngodadewethu	ng<p>o<iv_n1>dade<nr>w<z1>ethu<pr1p>
ngodaka	ng<p>o<iv_n11>daka<nr>
ngodishani	ng<p>o<iv_n3>dishani<nr>
ngodondolo	ng<p>o<iv_n11>dondolo<nr>
ngoduma	ng<p>o<iv_n11>duma<nr>
ngohambo	ng<p>o<iv_n11>hamb<vr>o<in>
ngoke	ngoke<adv>
ngokhisimuzi	ng<p>o<iv_n2>khisimuz<vr>i<hum>
ngokuba	ng<p>o<iv>ku<n15>b<vr>a<va>
ngokucasha	ngo<p>ku<n15>cash<vr>a<va>
ngokudlula	ng<p>o<iv>ku<n15>dlul<vr>a<va>
ngokugxila	ng<p>o<iv>ku<n15>gxil<vr>a<va>
ngokuhamba	ng<p>o<iv>ku<n15>hamb<vr>a<va>
ngokuhlonipha	ng<p>o<iv>ku<n15>hloniph<vr>a<va>
ngokujwayelekile	ng<p>o<iv>ku<n15>jwayel<vr>ek<xn>ile<vpl>
ngokukhala	ngo<p>ku<n15>khal<vr>a<va>
ngokulandelana	ng<p>o<iv>ku<n15>landel<vr>an<xr>a<va>
ngokulingana	ng<p>o<iv>ku<n15>ling<vr>an<xr>a<va>
ngokulinganayo	ng<p>o<r>ku<i15>ling<vr>an<xr>a<va>yo<rsf>
ngokulithunzi	ng<p>o<iv>ku<n15>lithunzi<nr>
ngokulokhu	ng<p>o<r>ku<i15>lokhu<mr>
ngokungabaza	ng<p>o<iv>ku<n15>nga<asp>baz<vr>a<va>
ngokungazami	ng<p>o<iv>ku<n15>nga<neg>zam<vr>i<vg>
ngokungibhinqa	ng<p>o<iv>ku<n15>ngi<o1s>bhinq<vr>a<va>
ngokunikina	ng<p>o<iv>ku<n15>nikin<vr>a<va>
ngokunjalo	ng<p>o<r>ku<i15>njalo<ar>
ngokunqakisana	ng<p>o<iv>ku<n15>nqak<vr>is<xc>an<xr>a<va>
ngokunye	ng<p>o<r>ku<n15>nye<ar>
ngokuphazima	ng<p>o<iv>ku<n15>phazim<vr>a<va>
ngokuphehla	ng<p>o<iv>ku<n15>phehl<vr>a<va>
ngokuphelele	ng<p>o<iv>ku<n15>phel<vr>el<xa>e<vps>
ngokuphikisana	ng<p>o<iv>ku<n15>phik<vr>is<xc>an<xr>a<va>
ngokuphoxwa	ng<p>o<iv>ku<n15>phox<vr>w<xp>a<va>
ngokuqhubeka	ng<p>o<iv>ku<n15>qhub<vr>ek<xn>a<va>
ngokuqoma	ng<p>o<iv>ku<n15>qom<vr>a<va>
ngokusebenza	ngo<p>ku<n15>sebenz<p1_vr>a<va>
ngokushabalala	ng<p>o<iv>ku<n15>shabalal<vr>a<va>
ngokushesha	ng<p>o<iv>ku<n15>shesh<vr>a<va>
ngokuthanda	ng<p>o<iv>ku<n15>thand<vr>a<va>
ngokuthi	ng<p>okuthi<cj>
ngokuzama	ng<p>o<iv>ku<n15>zam<vr>a<va>
ngokuzibulala	ng<p>o<iv>ku<n15>zi<refl>bulal<vr>a<va>
ngokwami	ng<p>o<r>kwa<z15>mi<pr1s>
ngokwasemakhaya	ng<p>o<r>kwa<z15>se<locpf>ma<n6>khaya<nr>
ngokwedlulele	ng<p>o<iv>kw<n15>edlul<vr>el<xa>e<vps>
ngokweqisa	ng<p>o<iv>kw<n15>eq<vr>is<xc>a<va>
ngokwesichibiyelo	ng<p>o<iv>kw<z15>e<iv>si<n7>chibiy<vr>el<xa>o<in>, ng<p>o<r>kw<z15>e<iv>si<n7>chibiy<vr>el<xa>o<in>
ngokwethembeka	ng<p>o<iv>kw<n15>ethemb<vr>ek<xn>a<va>
ngokwethuka	ng<p>o<r>kw<n15>ethuk<vr>a<va>
ngokweyisa	ng<p>o<r>kw<o2s>eyis<vr>a<va>
ngokwezandla	ng<p>o<r>kw<z15>e<iv>z<n10>andla<nr>
ngolaka	ng<p>o<iv_n11>laka<nr>
ngolimi	ng<p>o<iv_n11>limi<nr>
ngolizzy	ng<p>o<iv_n11>lizzy<nr>
ngolunye	ng<p>o<r>lu<n11>nye<ar>
ngolwesihlanu	ng<p>o<r>lw<z11>e<iv>si<n7>hlanu<ar>
ngomakoti	ng<p>o<iv_n1>makoti<nr>
ngomarony	ng<p>o<iv_n1>marony<nr>
ngombhoshongo	ng<p>o<iv>m<n3>bhoshongo<nr>
ngomcacamezelo	ng<p>o<iv>m<n3>cacamez<vr>el<xa>o<in>, ng<p>o<iv>m<n3>cacamezel<vr>o<in>
ngomgqibelo	ng<p>o<iv>m<n3>gqibel<vr>o<in>
ngomhlane	ng<p>o<iv>m<n3>hlane<nr>
ngomkhonzo	ng<p>o<iv>m<n3>khonz<vr>o<in>
ngomlilo	ng<p>o<iv>m<n3>lilo<nr>
ngomlomo	ng<p>o<iv>m<n3>lomo<nr>
ngomnyaka	ng<p>o<iv>m<n3>nyaka<nr>
ngomnyama	ng<p>o<iv>m<n3>nyama<nr>, ngo<p>m<n3>nyama<nr>
ngomnyango	ng<p>o<iv>m<n3>nyango<nr>
ngomoyelela	ng<i1s>o<asp>moyel<vr>el<xa>a<va>
ngomshini	ng<p>o<iv>m<n3>shini<nr>
ngomshoshaphansi	ng<p>o<iv>m<n1>shosh<vr>a<va>phansi<adv>
ngomuntu	ng<p>o<iv>mu<n1>ntu<nr>
ngomunye	ng<p>o<r>mu<n1>nye<ar>
ngomuso	ng<p>o<iv>mu<n3>so<nr>
ngomuthi	ng<p>o<iv>mu<n3>thi<nr>
ngonina	ng<p>o<iv_n1>nina<nr>
ngonozimanga	ng<p>o<iv_n1>no<der>zi<n10>ma<n6>nga<nr>
ngonya	ng<p>o<r>ny<vr>a<va>
ngonyaka	ng<p>o<iv_n3>nyaka<nr>
ngonyama	ng<p>o<iv_n3>nyama<nr>
ngonyawo	ng<p>o<iv_n11>nyawo<nr>
ngophondo	ng<p>o<iv_n11>phondo<nr>
ngoqashekayo	ng<p>o<r>qash<vr>ek<xn>a<va>yo<rsf>
ngoqhotho	ng<p>o<iv_n11>qhotho<nr>
ngoshaka	ng<p>o<iv_n1>shaka<nr>
ngosiko	ng<p>o<iv_n11>siko<nr>
ngosithembiso	ng<p>o<iv>si<n7>themb<vr>is<xc>o<in>
ngosizwile	ng<p>o<r>si<o1p>zw<vr>ile<vpl>
ngosuku	ng<p>o<iv_n11>suku<nr>
ngothi	ng<i1s>o<asp>thi<vr>
ngovivi	ng<p>o<iv_n11>vivi<nr>
ngowakhe	ng<p>o<r>wa<z1>khe<pr1>
ngowasemagabheni	ng<p>o<r>wa<z1>se<locpf>ma<n6>gabh<nr>eni<locsf>
ngowokuba	ng<p>o<r>w<z3>o<iv>kuba<cj>
ngowomunye	ng<p>o<r>w<z1>o<r>mu<n1>nye<ar>
ngoyinki	ng<p>o<iv_n3>yinki<nr>
ngqatha	n<n9>gqatha<nr>
ngqi	ngqi<intj>
ngqo	ngqo<adv>
ngu	ng<p>u<iv_n1>
ngubaba	ng<p>u<iv_n1>baba<nr>
ngubani	ng<p>u<iv_n1>bani<nr>
ngubuchwichwichwi	ng<p>u<iv>bu<n14>chwi<red>chwi<red>chwi<nr>
